Date,Ticker,Type,Units,Price,Fee,Currency
2024-01-11 00:00:00,DIS,Dividend,1.0,0.6,0.18,USD
2024-07-02 00:00:00,NKE,Dividend,1.0,0.74,0.22,USD
2024-09-17 00:00:00,GOOG,Dividend,1.0,0.4,0.12,USD
2024-10-02 00:00:00,NKE,Dividend,1.0,0.74,0.22,USD
2024-12-17 00:00:00,GOOG,Dividend,1.0,0.4,0.12,USD
2025-01-03 00:00:00,NKE,Dividend,1.0,0.8,0.24,USD
2025-03-18 00:00:00,GOOG,Dividend,1.0,0.8,0.24,USD
2025-04-01 00:00:00,VTI,Dividend,1.0,0.99,0.3,USD
2025-04-02 00:00:00,NKE,Dividend,1.0,0.8,0.24,USD
2025-04-03 00:00:00,NVDA,Dividend,1.0,0.02,0.01,USD
2025-06-17 00:00:00,GOOG,Dividend,1.0,1.05,0.31,USD
2025-07-02 00:00:00,NKE,Dividend,1.0,0.8,0.24,USD
2025-07-03 00:00:00,VTI,Dividend,1.0,1.83,0.55,USD
2025-07-04 00:00:00,NVDA,Dividend,1.0,0.04,0.01,USD
2025-09-16 00:00:00,GOOG,Dividend,1.0,1.05,0.32,USD
2025-09-24 00:00:00,UNH,Dividend,1.0,2.21,0.66,USD
2025-10-02 00:00:00,NKE,Dividend,1.0,0.8,0.24,USD
2025-10-02 00:00:00,VTI,Dividend,1.0,1.81,0.54,USD
2025-10-03 00:00:00,NVDA,Dividend,1.0,0.04,0.01,USD
2025-11-07 00:00:00,ASML,Dividend,1.0,1.86,0.28,USD
2025-12-16 00:00:00,GOOG,Dividend,1.0,1.05,0.31,USD
2025-12-17 00:00:00,UNH,Dividend,1.0,2.21,0.66,USD
2025-12-24 00:00:00,META,Dividend,1.0,1.05,0.31,USD
2025-12-25 00:00:00,VTI,Dividend,1.0,1.9,0.57,USD
2025-12-29 00:00:00,NVDA,Dividend,1.0,0.04,0.01,USD
2026-01-05 00:00:00,NKE,Dividend,1.0,0.82,0.25,USD
2026-02-19 00:00:00,ASML,Dividend,1.0,1.91,0.29,USD
2026-03-13 00:00:00,MSFT,Dividend,1.0,1.82,0.55,USD
2026-03-17 00:00:00,GOOG,Dividend,1.0,1.05,0.32,USD
2026-03-18 00:00:00,UNH,Dividend,1.0,2.21,0.66,USD
