Date,Ticker,Type,Units,Price,Fee,Currency
2023-12-07 11:17:09,DIS,Buy,2.0,92.9,1.08,USD
2024-01-02 04:06:33,DIS,Sell,2.0,90.5,1.11,USD
2024-04-08 09:30:32,NKE,Buy,2.0,88.8,1.09,USD
2024-08-06 16:50:06,GOOG,Buy,2.0,159.8,1.09,USD
2025-02-28 11:25:10,GOOG,Buy,2.0,170.0,1.09,USD
2025-02-28 12:44:21,NVDA,Buy,1.0,121.0,1.08,USD
2025-03-10 12:48:48,NVDA,Buy,1.0,107.5,1.08,USD
2025-03-11 12:14:38,VTI,Buy,1.0,273.0,1.08,USD
2025-03-19 13:14:02,AMZN,Buy,1.0,192.0,1.08,USD
2025-04-03 15:38:16,AMZN,Buy,1.0,178.0,1.08,USD
2025-04-07 10:18:10,NVDA,Buy,2.0,100.0,1.09,USD
2025-04-07 10:18:11,VTI,Buy,1.0,256.0,1.08,USD
2025-04-07 10:22:09,GOOG,Buy,1.0,150.0,1.08,USD
2025-06-16 06:40:59,CPRT,Buy,3.0,49.0,1.09,USD
2025-08-01 14:12:13,ASML,Buy,1.0,686.0,1.08,USD
2025-08-04 07:05:55,UNH,Buy,1.0,240.0,1.08,USD
2025-10-13 11:52:05,CPRT,Buy,2.0,44.3,1.09,USD
2025-10-30 12:10:32,META,Buy,1.0,675.0,1.08,USD
2025-11-17 16:19:03,META,Buy,1.0,601.79,1.08,USD
2026-02-05 11:03:59,MSFT,Buy,1.0,400.0,1.08,USD
2026-02-11 10:13:00,MSFT,Buy,1.0,405.0,1.08,USD
2026-02-24 10:00:00,MSFT,Buy,1.0,385.0,1.08,USD
2026-03-03 10:29:46,NVO,Buy,10.0,36.0,1.11,USD
